Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:30:22 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle

12:30:23 AM     all      0.50      0.00      0.25      0.00      0.00     99.25
12:30:24 AM     all      3.01      0.00      1.69      0.00      0.00     95.29
12:30:25 AM     all      3.57      0.00      0.50      0.00      0.00     95.92
12:30:26 AM     all      1.13      0.00      0.38      0.06      0.00     98.43
12:30:27 AM     all      1.44      0.00      0.38      0.00      0.00     98.18
12:30:28 AM     all      1.32      0.00      0.19      0.00      0.00     98.49
12:30:29 AM     all      1.57      0.00      0.44      0.06      0.00     97.93
12:30:30 AM     all      1.32      0.00      0.31      0.13      0.00     98.24
12:30:31 AM     all      1.26      0.00      0.31      0.00      0.00     98.43
12:30:32 AM     all      1.25      0.00      0.50      0.06      0.00     98.18
12:30:33 AM     all      3.20      0.00      0.81      0.00      0.00     95.99
12:30:34 AM     all      3.43      0.00      0.56      0.00      0.00     96.01
12:30:35 AM     all      1.19      0.00      0.44      0.13      0.00     98.24
12:30:36 AM     all      1.31      0.00      0.44      0.00      0.00     98.25
12:30:37 AM     all      1.32      0.00      0.31      0.06      0.00     98.31
12:30:38 AM     all      1.13      0.00      0.38      0.06      0.00     98.43
12:30:39 AM     all      1.07      0.00      0.44      0.06      0.00     98.43
12:30:40 AM     all      1.13      0.00      0.38      0.06      0.00     98.44
12:30:41 AM     all      2.90      0.00      0.50      0.00      0.00     96.60
12:30:42 AM     all      0.88      0.00      0.56      0.19      0.00     98.37
12:30:43 AM     all      0.88      0.00      0.50      0.00      0.00     98.62
12:30:44 AM     all      0.94      0.00      0.31      0.06      0.00     98.68
12:30:45 AM     all      0.82      0.00      0.44      0.00      0.00     98.75
12:30:46 AM     all      0.88      0.00      0.31      0.06      0.00     98.75
12:30:47 AM     all      1.26      0.00      0.63      0.00      0.00     98.11
12:30:48 AM     all      1.06      0.00      0.50      0.06      0.00     98.38
12:30:49 AM     all      3.07      0.00      1.06      0.00      0.00     95.87
12:30:50 AM     all      0.75      0.00      0.31      0.13      0.00     98.81

12:30:51 AM     all      2.51      0.00      2.82      0.00      0.00     94.67
12:30:52 AM     all      2.50      0.00      1.25      0.00      0.00     96.24
12:30:53 AM     all      3.07      0.00      0.44      0.19      0.00     96.31
12:30:54 AM     all      0.50      0.00      0.31      0.13      0.00     99.06
12:30:55 AM     all      0.25      0.00      0.25      0.00      0.00     99.50
12:30:56 AM     all      0.25      0.00      0.06      0.00      0.00     99.69
12:30:57 AM     all      3.56      0.00      1.25      0.00      0.00     95.19
12:30:58 AM     all      0.56      0.00      0.13      0.00      0.00     99.31
12:30:59 AM     all      0.25      0.00      0.00      0.25      0.00     99.50
12:31:00 AM     all      0.31      0.00      0.13      0.00      0.00     99.56
12:31:01 AM     all      0.56      0.00      1.12      0.00      0.00     98.31
12:31:02 AM     all      1.13      0.00      0.69      0.00      0.00     98.18
12:31:03 AM     all      0.31      0.00      0.06      0.00      0.00     99.63
12:31:04 AM     all      0.31      0.00      0.19      0.13      0.00     99.37
12:31:05 AM     all      2.70      0.00      0.88      0.00      0.00     96.42
12:31:06 AM     all      0.31      0.00      0.19      0.00      0.00     99.50
12:31:07 AM     all      1.38      0.00      0.38      0.00      0.00     98.24
12:31:08 AM     all      1.19      0.00      0.19      0.00      0.00     98.62
12:31:09 AM     all      1.50      0.00      0.44      0.19      0.00     97.88
12:31:10 AM     all      0.44      0.00      0.31      0.00      0.00     99.25
12:31:11 AM     all      0.25      0.00      0.13      0.00      0.00     99.62
12:31:12 AM     all      1.19      0.00      0.44      0.00      0.00     98.37
12:31:13 AM     all      2.07      0.00      0.82      0.06      0.00     97.05
12:31:14 AM     all      0.06      0.00      0.13      0.00      0.00     99.81
12:31:15 AM     all      0.44      0.00      0.31      0.00      0.00     99.25
12:31:16 AM     all      0.25      0.00      0.25      0.12      0.00     99.38
12:31:17 AM     all      0.56      0.00      0.06      0.00      0.00     99.37
12:31:18 AM     all      0.25      0.00      0.19      0.00      0.00     99.56
12:31:19 AM     all      0.38      0.00      0.00      0.00      0.00     99.62
12:31:20 AM     all      0.31      0.00      0.06      0.00      0.00     99.62
12:31:21 AM     all      2.63      0.00      0.56      0.00      0.00     96.81
12:31:22 AM     all      0.44      0.00      0.25      0.06      0.00     99.25
12:31:23 AM     all      0.82      0.00      0.50      0.00      0.00     98.68
12:31:24 AM     all      0.31      0.00      0.25      0.00      0.00     99.44
12:31:25 AM     all      0.19      0.00      0.13      0.00      0.00     99.69
12:31:26 AM     all      0.38      0.00      0.19      0.00      0.00     99.44
12:31:27 AM     all      0.31      0.00      0.06      0.00      0.00     99.62
12:31:28 AM     all      0.44      0.00      0.06      0.00      0.00     99.50
12:31:29 AM     all      2.07      0.00      0.69      0.00      0.00     97.23
12:31:30 AM     all      0.31      0.00      0.19      0.00      0.00     99.50
12:31:31 AM     all      0.38      0.00      0.12      0.00      0.00     99.50
12:31:32 AM     all      0.13      0.00      0.25      0.00      0.00     99.62
12:31:33 AM     all      2.26      0.00      0.44      0.00      0.00     97.30
12:31:34 AM     all      0.19      0.00      0.13      0.00      0.00     99.69
12:31:35 AM     all      0.25      0.00      0.06      0.00      0.00     99.69
12:31:36 AM     all      0.19      0.00      0.19      0.00      0.00     99.62
12:31:37 AM     all      2.51      0.00      0.88      0.06      0.00     96.55
12:31:38 AM     all      0.31      0.00      0.19      0.00      0.00     99.50
12:31:39 AM     all      0.38      0.00      0.13      0.00      0.00     99.50
12:31:40 AM     all      0.31      0.00      0.13      0.00      0.00     99.56
12:31:41 AM     all      0.25      0.00      0.19      0.00      0.00     99.56
12:31:42 AM     all      0.25      0.00      0.19      0.00      0.00     99.56
12:31:43 AM     all      0.25      0.00      0.06      0.00      0.00     99.69
12:31:44 AM     all      0.19      0.00      0.06      0.06      0.00     99.69
12:31:45 AM     all      3.32      0.00      0.88      0.00      0.00     95.80
12:31:46 AM     all      0.62      0.00      0.19      0.00      0.00     99.19
12:31:47 AM     all      0.25      0.00      0.19      0.00      0.00     99.56
12:31:48 AM     all      0.31      0.00      0.12      0.00      0.00     99.56
12:31:49 AM     all      0.31      0.00      0.13      0.00      0.00     99.56
12:31:50 AM     all      1.40      0.00      0.32      0.00      0.00     98.28
12:31:51 AM     all      4.44      0.00      0.76      0.06      0.00     94.73
12:31:52 AM     all      2.78      0.00      0.88      0.00      0.00     96.34
12:31:53 AM     all      3.72      0.00      0.57      0.00      0.00     95.71
12:31:54 AM     all      0.94      0.00      0.19      0.00      0.00     98.87
12:31:55 AM     all      3.37      0.00      0.45      0.00      0.00     96.18
12:31:56 AM     all      0.95      0.00      0.44      0.00      0.00     98.61
12:31:57 AM     all      1.64      0.00      0.89      0.00      0.00     97.47
12:31:58 AM     all      1.59      0.00      0.25      0.00      0.00     98.15
12:31:59 AM     all      1.21      0.00      0.51      0.00      0.00     98.29
12:32:00 AM     all      1.01      0.00      0.57      0.00      0.00     98.42
12:32:01 AM     all      6.37      0.00      1.46      0.00      0.00     92.17
12:32:02 AM     all      1.65      0.00      0.76      0.00      0.00     97.58
12:32:03 AM     all      1.32      0.00      0.69      0.06      0.00     97.92
12:32:04 AM     all      1.46      0.00      0.25      0.00      0.00     98.28
