Linux 5.19.0-43-generic (lsl-PC) 	06/10/2023 	_x86_64_	(16 CPU)

12:39:07 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:08 AM     all      2.32      0.00      0.63      0.00      0.00     97.06
12:39:08 AM       0      7.00      0.00      1.00      0.00      0.00     92.00
12:39:08 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:39:08 AM       2      2.00      0.00      0.00      0.00      0.00     98.00
12:39:08 AM       3      0.99      0.00      0.00      0.00      0.00     99.01
12:39:08 AM       4      1.00      0.00      0.00      0.00      0.00     99.00
12:39:08 AM       5      0.99      0.00      1.98      0.00      0.00     97.03
12:39:08 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:39:08 AM       7      1.03      0.00      0.00      0.00      0.00     98.97
12:39:08 AM       8      2.97      0.00      0.99      0.00      0.00     96.04
12:39:08 AM       9      3.03      0.00      1.01      0.00      0.00     95.96
12:39:08 AM      10      0.99      0.00      0.99      0.00      0.00     98.02
12:39:08 AM      11      6.06      0.00      0.00      0.00      0.00     93.94
12:39:08 AM      12      4.08      0.00      2.04      0.00      0.00     93.88
12:39:08 AM      13      1.02      0.00      0.00      0.00      0.00     98.98
12:39:08 AM      14      3.92      0.00      1.96      0.00      0.00     94.12
12:39:08 AM      15      1.98      0.00      0.00      0.00      0.00     98.02

12:39:08 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:09 AM     all     11.27      0.00      2.78      0.13      0.00     85.82
12:39:09 AM       0     12.12      0.00      2.02      0.00      0.00     85.86
12:39:09 AM       1     12.75      0.00      1.96      0.00      0.00     85.29
12:39:09 AM       2     11.11      0.00      0.00      0.00      0.00     88.89
12:39:09 AM       3     13.13      0.00      0.00      0.00      0.00     86.87
12:39:09 AM       4     17.65      0.00      6.86      1.96      0.00     73.53
12:39:09 AM       5      4.12      0.00      2.06      0.00      0.00     93.81
12:39:09 AM       6     10.42      0.00      0.00      0.00      0.00     89.58
12:39:09 AM       7      6.06      0.00      2.02      0.00      0.00     91.92
12:39:09 AM       8      8.08      0.00      2.02      0.00      0.00     89.90
12:39:09 AM       9      8.16      0.00      0.00      0.00      0.00     91.84
12:39:09 AM      10      3.06      0.00      0.00      0.00      0.00     96.94
12:39:09 AM      11      4.00      0.00      3.00      0.00      0.00     93.00
12:39:09 AM      12     39.58      0.00     17.71      0.00      0.00     42.71
12:39:09 AM      13      9.90      0.00      1.98      0.00      0.00     88.12
12:39:09 AM      14     14.00      0.00      4.00      0.00      0.00     82.00
12:39:09 AM      15      6.32      0.00      1.05      0.00      0.00     92.63

12:39:09 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:10 AM     all      2.39      0.00      0.82      0.00      0.00     96.80
12:39:10 AM       0      1.00      0.00      0.00      0.00      0.00     99.00
12:39:10 AM       1      0.00      0.00      1.01      0.00      0.00     98.99
12:39:10 AM       2      3.00      0.00      0.00      0.00      0.00     97.00
12:39:10 AM       3      1.01      0.00      0.00      0.00      0.00     98.99
12:39:10 AM       4      4.00      0.00      0.00      0.00      0.00     96.00
12:39:10 AM       5      1.00      0.00      1.00      0.00      0.00     98.00
12:39:10 AM       6      0.00      0.00      1.00      0.00      0.00     99.00
12:39:10 AM       7      7.00      0.00      0.00      0.00      0.00     93.00
12:39:10 AM       8      1.01      0.00      0.00      0.00      0.00     98.99
12:39:10 AM       9      5.10      0.00      1.02      0.00      0.00     93.88
12:39:10 AM      10      0.00      0.00      3.03      0.00      0.00     96.97
12:39:10 AM      11      0.00      0.00      3.00      0.00      0.00     97.00
12:39:10 AM      12     10.00      0.00      2.00      0.00      0.00     88.00
12:39:10 AM      13      0.00      0.00      1.00      0.00      0.00     99.00
12:39:10 AM      14      4.04      0.00      0.00      0.00      0.00     95.96
12:39:10 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

12:39:10 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:11 AM     all      2.53      0.00      0.38      0.00      0.00     97.10
12:39:11 AM       0      4.04      0.00      0.00      0.00      0.00     95.96
12:39:11 AM       1      0.00      0.00      0.00      0.00      0.00    100.00
12:39:11 AM       2      1.00      0.00      0.00      0.00      0.00     99.00
12:39:11 AM       3      5.00      0.00      0.00      0.00      0.00     95.00
12:39:11 AM       4     12.00      0.00      0.00      0.00      0.00     88.00
12:39:11 AM       5      0.00      0.00      1.01      0.00      0.00     98.99
12:39:11 AM       6      1.00      0.00      0.00      0.00      0.00     99.00
12:39:11 AM       7      5.10      0.00      0.00      0.00      0.00     94.90
12:39:11 AM       8      1.00      0.00      0.00      0.00      0.00     99.00
12:39:11 AM       9      6.00      0.00      2.00      0.00      0.00     92.00
12:39:11 AM      10      0.00      0.00      1.01      0.00      0.00     98.99
12:39:11 AM      11      1.98      0.00      0.00      0.00      0.00     98.02
12:39:11 AM      12      0.00      0.00      1.05      0.00      0.00     98.95
12:39:11 AM      13      2.00      0.00      0.00      0.00      0.00     98.00
12:39:11 AM      14      0.00      0.00      1.02      0.00      0.00     98.98
12:39:11 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

12:39:11 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:12 AM     all      2.26      0.00      0.75      0.00      0.00     96.99
12:39:12 AM       0      3.03      0.00      1.01      0.00      0.00     95.96
12:39:12 AM       1      6.00      0.00      0.00      0.00      0.00     94.00
12:39:12 AM       2      2.04      0.00      0.00      0.00      0.00     97.96
12:39:12 AM       3      4.00      0.00      0.00      0.00      0.00     96.00
12:39:12 AM       4     12.87      0.00      0.00      0.00      0.00     87.13
12:39:12 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
12:39:12 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:39:12 AM       7      0.00      0.00      1.00      0.00      0.00     99.00
12:39:12 AM       8      0.00      0.00      1.01      0.00      0.00     98.99
12:39:12 AM       9      5.05      0.00      1.01      0.00      0.00     93.94
12:39:12 AM      10      1.01      0.00      0.00      0.00      0.00     98.99
12:39:12 AM      11      0.00      0.00      1.00      0.00      0.00     99.00
12:39:12 AM      12      0.99      0.00      3.96      0.00      0.00     95.05
12:39:12 AM      13      0.00      0.00      1.01      0.00      0.00     98.99
12:39:12 AM      14      0.00      0.00      0.00      0.00      0.00    100.00
12:39:12 AM      15      0.00      0.00      1.00      0.00      0.00     99.00

12:39:12 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:13 AM     all      2.27      0.00      0.57      0.00      0.00     97.17
12:39:13 AM       0      3.92      0.00      0.98      0.00      0.00     95.10
12:39:13 AM       1      4.12      0.00      0.00      0.00      0.00     95.88
12:39:13 AM       2      0.99      0.00      0.99      0.00      0.00     98.02
12:39:13 AM       3      1.00      0.00      1.00      0.00      0.00     98.00
12:39:13 AM       4     11.11      0.00      0.00      0.00      0.00     88.89
12:39:13 AM       5      1.01      0.00      0.00      0.00      0.00     98.99
12:39:13 AM       6      1.00      0.00      1.00      0.00      0.00     98.00
12:39:13 AM       7      0.00      0.00      0.00      0.00      0.00    100.00
12:39:13 AM       8      0.00      0.00      1.00      0.00      0.00     99.00
12:39:13 AM       9      2.00      0.00      1.00      0.00      0.00     97.00
12:39:13 AM      10      2.08      0.00      0.00      0.00      0.00     97.92
12:39:13 AM      11      1.02      0.00      1.02      0.00      0.00     97.96
12:39:13 AM      12      1.01      0.00      1.01      0.00      0.00     97.98
12:39:13 AM      13      1.00      0.00      0.00      0.00      0.00     99.00
12:39:13 AM      14      2.00      0.00      1.00      0.00      0.00     97.00
12:39:13 AM      15      4.08      0.00      0.00      0.00      0.00     95.92

12:39:13 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:14 AM     all      4.34      0.00      0.82      0.06      0.00     94.78
12:39:14 AM       0      2.04      0.00      1.02      0.00      0.00     96.94
12:39:14 AM       1      1.02      0.00      1.02      0.00      0.00     97.96
12:39:14 AM       2      6.06      0.00      0.00      0.00      0.00     93.94
12:39:14 AM       3      4.04      0.00      1.01      0.00      0.00     94.95
12:39:14 AM       4     11.88      0.00      0.99      0.99      0.00     86.14
12:39:14 AM       5      0.00      0.00      2.04      0.00      0.00     97.96
12:39:14 AM       6      6.00      0.00      0.00      0.00      0.00     94.00
12:39:14 AM       7      4.00      0.00      0.00      0.00      0.00     96.00
12:39:14 AM       8      5.15      0.00      2.06      0.00      0.00     92.78
12:39:14 AM       9      2.00      0.00      0.00      0.00      0.00     98.00
12:39:14 AM      10      8.00      0.00      2.00      0.00      0.00     90.00
12:39:14 AM      11      3.00      0.00      1.00      0.00      0.00     96.00
12:39:14 AM      12      2.02      0.00      0.00      0.00      0.00     97.98
12:39:14 AM      13      3.96      0.00      0.99      0.00      0.00     95.05
12:39:14 AM      14      5.00      0.00      0.00      0.00      0.00     95.00
12:39:14 AM      15      5.00      0.00      1.00      0.00      0.00     94.00

12:39:14 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:15 AM     all      4.58      0.00      0.94      0.00      0.00     94.48
12:39:15 AM       0      3.03      0.00      0.00      0.00      0.00     96.97
12:39:15 AM       1      2.04      0.00      1.02      0.00      0.00     96.94
12:39:15 AM       2      6.19      0.00      0.00      0.00      0.00     93.81
12:39:15 AM       3      3.00      0.00      0.00      0.00      0.00     97.00
12:39:15 AM       4     12.12      0.00      0.00      0.00      0.00     87.88
12:39:15 AM       5      4.90      0.00      1.96      0.00      0.00     93.14
12:39:15 AM       6      5.94      0.00      1.98      0.00      0.00     92.08
12:39:15 AM       7      2.97      0.00      0.99      0.00      0.00     96.04
12:39:15 AM       8      3.00      0.00      0.00      0.00      0.00     97.00
12:39:15 AM       9      3.00      0.00      1.00      0.00      0.00     96.00
12:39:15 AM      10      7.00      0.00      3.00      0.00      0.00     90.00
12:39:15 AM      11      3.03      0.00      0.00      0.00      0.00     96.97
12:39:15 AM      12      5.05      0.00      1.01      0.00      0.00     93.94
12:39:15 AM      13      5.05      0.00      2.02      0.00      0.00     92.93
12:39:15 AM      14      4.95      0.00      0.99      0.00      0.00     94.06
12:39:15 AM      15      2.02      0.00      1.01      0.00      0.00     96.97

12:39:15 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:16 AM     all      2.71      0.00      0.57      0.00      0.00     96.73
12:39:16 AM       0      4.04      0.00      0.00      0.00      0.00     95.96
12:39:16 AM       1      4.00      0.00      0.00      0.00      0.00     96.00
12:39:16 AM       2      1.00      0.00      1.00      0.00      0.00     98.00
12:39:16 AM       3      1.03      0.00      0.00      0.00      0.00     98.97
12:39:16 AM       4     10.20      0.00      0.00      0.00      0.00     89.80
12:39:16 AM       5      1.01      0.00      1.01      0.00      0.00     97.98
12:39:16 AM       6      0.00      0.00      0.00      0.00      0.00    100.00
12:39:16 AM       7      0.99      0.00      0.99      0.00      0.00     98.02
12:39:16 AM       8      1.01      0.00      1.01      0.00      0.00     97.98
12:39:16 AM       9      5.05      0.00      1.01      0.00      0.00     93.94
12:39:16 AM      10      1.02      0.00      1.02      0.00      0.00     97.96
12:39:16 AM      11      1.00      0.00      1.00      0.00      0.00     98.00
12:39:16 AM      12      8.82      0.00      0.00      0.00      0.00     91.18
12:39:16 AM      13      1.01      0.00      1.01      0.00      0.00     97.98
12:39:16 AM      14      2.00      0.00      1.00      0.00      0.00     97.00
12:39:16 AM      15      1.00      0.00      0.00      0.00      0.00     99.00

12:39:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:17 AM     all      2.70      0.00      0.44      0.19      0.00     96.67
12:39:17 AM       0      0.00      0.00      0.00      0.00      0.00    100.00
12:39:17 AM       1      3.96      0.00      0.99      0.00      0.00     95.05
12:39:17 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
12:39:17 AM       3      0.99      0.00      1.98      0.00      0.00     97.03
12:39:17 AM       4     10.00      0.00      0.00      0.00      0.00     90.00
12:39:17 AM       5      1.02      0.00      0.00      0.00      0.00     98.98
12:39:17 AM       6      1.02      0.00      0.00      0.00      0.00     98.98
12:39:17 AM       7      2.00      0.00      0.00      0.00      0.00     98.00
12:39:17 AM       8      1.00      0.00      0.00      0.00      0.00     99.00
12:39:17 AM       9      7.84      0.00      1.96      0.00      0.00     90.20
12:39:17 AM      10      3.00      0.00      0.00      0.00      0.00     97.00
12:39:17 AM      11      1.00      0.00      1.00      0.00      0.00     98.00
12:39:17 AM      12      2.08      0.00      0.00      3.12      0.00     94.79
12:39:17 AM      13      2.00      0.00      0.00      0.00      0.00     98.00
12:39:17 AM      14      5.94      0.00      0.99      0.00      0.00     93.07
12:39:17 AM      15      1.03      0.00      0.00      0.00      0.00     98.97

12:39:17 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:39:18 AM     all      2.63      0.00      0.63      0.00      0.00     96.74
12:39:18 AM       0      4.04      0.00      0.00      0.00      0.00     95.96
12:39:18 AM       1      3.92      0.00      1.96      0.00      0.00     94.12
12:39:18 AM       2      0.00      0.00      0.00      0.00      0.00    100.00
